Rating,Name,Developer,ReleaseDate,Votes,PositiveVotesPercent,Price,Action,Adventure,FPS,Open World,PvE,PvP,Sandbox,Sci-fi,Simulation
Mostly Positive,-1.7286213805586208,-1.2720328540541632,-2.5649220303774176,23.05402656882514,0.3095891846731075,-1.3765400150242584,1,0,1,0,0,1,0,0,0
Very Positive,-1.7240483081232805,-1.2654186047512246,0.8832206360798046,-0.1735688711830226,0.7648939675013737,2.1341816043541653,1,0,0,1,1,1,0,0,0
Very Positive,-1.7194752356879401,-1.2588043554482862,0.8832206360798046,-0.24452816902865349,-0.01562851734708191,3.3841770716339243,1,1,0,1,0,0,0,0,0
Mixed,-1.7149021632526,-1.2521901061453475,0.8832206360798046,-0.20694556787819848,-2.2271088910843733,2.1341816043541653,0,0,0,0,0,1,0,0,1
Mostly Positive,-1.7103290908172597,-1.2455758568424091,-1.4155411415583437,1.2686156852907564,-0.08067205775111994,-0.37383498328580017,1,0,0,0,0,0,0,0,0
Mostly Negative,-1.7057560183819194,-1.2389616075394705,0.5958754138750361,0.6110749580604915,-3.983284481993398,-1.3765400150242584,1,0,1,0,1,1,0,1,0
Very Positive,-1.7011829459465793,-1.232347358236532,0.8832206360798046,-0.2314084246270401,0.43967626548118355,-1.030935329247471,0,0,1,0,0,1,0,0,1
Mixed,-1.696609873511239,-1.2257331089335934,-1.128195919353575,6.575672225379693,-1.5116299466399559,-1.3765400150242584,1,0,1,0,0,1,0,0,1
Mostly Positive,-1.6920368010758986,-1.219118859630655,0.021184969465499012,0.4741404149299617,-0.4058897597713101,-1.3765400150242584,1,1,0,0,0,1,0,0,0
Very Positive,-1.6874637286405585,-1.2125046103277164,0.5958754138750361,-0.08977989131200448,0.6348068866932977,-1.1032987223693142e-18,1,0,0,0,0,0,0,1,0
Mixed,-1.6828906562052182,-1.205890361024778,0.8832206360798046,-0.2430555446570438,-0.8611945425995755,1.08081463754538,1,0,1,0,1,0,0,1,1
Very Positive,-1.6783175837698778,-1.1992761117218396,0.8832206360798046,-0.23336913472787643,0.6348068866932977,2.1341816043541653,0,1,0,0,0,0,0,0,0
Mostly Positive,-1.6737445113345375,-1.192661862418901,0.8832206360798046,-0.02472503625936162,-0.08067205775111994,1.6325782868261725,1,1,0,0,1,0,0,1,0
Mostly Positive,-1.6691714388991974,-1.2720328540541632,-2.277576808172649,6.274604213224813,-0.01562851734708191,-1.3765400150242584,1,0,0,0,0,1,0,0,1
Very Positive,-1.664598366463857,-1.1860476131159625,0.8832206360798046,9.892134214539045e-19,0.0,2.6357849218821583,1,0,1,1,1,1,0,0,0
Very Positive,-1.6600252940285167,-1.1794333638130239,0.021184969465499012,-0.19646427547571907,0.049415023056955394,0.7733318039007201,1,0,0,0,1,1,0,0,0
Mostly Negative,-1.6554522215931766,-1.1728191145100855,-0.2661602527392695,2.4149282508299366,-0.8611945425995755,-1.3765400150242584,1,0,1,0,0,1,0,1,0
Very Positive,-1.6508791491578363,-1.1662048652071468,-0.8408506971488067,0.6888284092569579,-0.34084621936727205,1.0306543057925808,1,1,1,1,0,1,1,0,1
Overwhelmingly Positive,-1.646306076722496,-1.1595906159042084,0.8832206360798046,1.7189207900139891,0.9600245887134871,1.6325782868261725,1,1,0,0,0,0,0,0,0
Overwhelmingly Positive,-1.6417330042871556,-1.1529763666012698,0.8832206360798046,-0.20886444205938684,0.894981048309449,2.1341816043541653,1,1,0,0,0,0,0,0,0
Very Positive,-1.6371599318518155,-1.1463621172983314,-2.277576808172649,1.4144808027354794,0.3746327250771455,-1.3765400150242584,1,0,0,0,1,0,0,1,0
Mostly Positive,-1.6325868594164752,-1.1662048652071468,0.8832206360798046,-0.24347948197614355,-0.7311074617915002,-1.1032987223693142e-18,1,1,1,1,0,1,1,0,1
Mixed,-1.6280137869811349,-1.2389616075394705,0.5958754138750361,-0.17150496581372118,-0.6660639213874622,1.1309749692981792,1,0,0,0,1,0,0,0,0
Very Positive,-1.6234407145457947,-1.1397478679953927,-0.8408506971488067,2.324306070749745,0.3746327250771455,0.6293716517701863,1,1,1,1,0,1,1,0,1
Mostly Positive,-1.6188676421104544,-1.1794333638130239,0.8832206360798046,-0.24476245017868228,-0.4058897597713101,-1.1032987223693142e-18,1,0,0,0,1,1,0,0,0
Mixed,-1.614294569675114,-1.1331336186924543,-0.553505474944038,1.466212311910889,-0.08067205775111994,-1.3765400150242584,1,1,1,1,1,1,0,1,0
Mostly Positive,-1.6097214972397738,-1.1265193693895157,-2.277576808172649,1.290166762032097,-0.6010203809834241,-1.3765400150242584,1,0,0,0,0,0,0,0,1
Overwhelmingly Positive,-1.6051484248044336,-1.1199051200865773,0.5958754138750361,1.3979416691679694,0.9600245887134871,1.6325782868261725,0,1,0,0,0,0,0,0,0
Mostly Positive,-1.6005753523690933,-1.1132908707836386,-1.7028863637631122,2.896643764024889,0.24454564426906947,-0.37383498328580017,1,0,1,0,0,1,0,0,0
Mixed,-1.596002279933753,-1.1066766214807002,-0.553505474944038,0.2588416161761048,-0.4709333001753481,0.12776833424219292,1,0,1,1,0,1,0,0,0
Mixed,-1.5914292074984129,-1.1000623721777616,0.8832206360798046,0.0038014828179559032,-1.7718041082561071,-1.3765400150242584,1,1,0,0,1,0,0,1,0
Very Positive,-1.5868561350630725,-1.2720328540541632,-4.001648141401261,2.882087653048694,0.43967626548118355,-1.3765400150242584,1,0,1,0,0,0,0,0,0
Very Positive,-1.5822830626277322,-1.0934481228748232,-1.4155411415583437,0.42294998364866665,0.3095891846731075,2.9673447147681613,0,0,0,0,0,0,0,0,1
Very Positive,-1.5777099901923919,-1.0868338735718845,-1.7028863637631122,4.569107167547819,0.3746327250771455,-1.1032987223693142e-18,1,1,0,1,0,0,1,0,0
Very Positive,-1.5731369177570518,-1.0802196242689461,0.8832206360798046,1.6241986898082932,-0.5359768405793861,0.6293716517701863,1,0,0,1,1,0,0,1,0
Very Positive,-1.5685638453217114,-1.0736053749660075,0.8832206360798046,9.892134214539045e-19,0.0,1.6325782868261725,1,1,0,1,0,0,0,0,0
Very Positive,-1.5639907728863711,-1.066991125663069,1.170565858284573,9.892134214539045e-19,0.0,2.1341816043541653,1,1,0,1,0,0,0,0,0
Mostly Positive,-1.559417700451031,-1.0603768763601304,0.8832206360798046,-0.24469830176855534,-0.4709333001753481,0.12776833424219292,1,1,0,0,0,0,0,0,0
Overwhelmingly Positive,-1.5548446280156907,-1.053762627057192,-0.8408506971488067,0.21506172079512575,1.025068129117525,1.0206222394420206,0,0,0,1,0,0,1,1,1
Very Positive,-1.5502715555803503,-1.0471483777542534,-0.553505474944038,-0.05367828171708877,0.5697633462892596,4.046293450770875,0,0,0,1,0,0,1,0,1
Very Positive,-1.54569848314501,-1.040534128451315,-0.2661602527392695,0.5758993168204515,0.5047198058852216,0.6293716517701863,1,1,1,1,1,1,0,0,0
Very Positive,-1.54112541070967,-1.2125046103277164,0.3085301916702675,1.740611319820823,0.6998504270973357,1.6325782868261725,1,0,0,1,0,1,0,0,0
Overwhelmingly Positive,-1.5365523382743296,-1.0339198791483764,-0.8408506971488067,1.8958142145309804,1.0901116695215631,-1.176400291330589,1,0,0,0,0,0,1,0,0
Very Positive,-1.5319792658389892,-1.027305629845438,-1.4155411415583437,0.045163262043280396,0.829937507905411,-0.3397259576938965,1,1,0,1,0,0,0,0,0
Very Positive,-1.5274061934036491,-1.0206913805424995,-0.8408506971488067,-0.05319856317179168,-0.21075913855919598,3.126854569742064,1,1,0,1,0,1,1,0,0
