Rating,Name,Developer,ReleaseDate,Votes,PositiveVotesPercent,Price,Action,Adventure,FPS,Open World,PvE,PvP,Sandbox,Sci-fi,Simulation
-1,-1.7286213805586208,-1.2720328540541632,-2.5649220303773883,22.482796874445057,0.86,-1.2645566277980265,1,0,1,0,0,1,0,0,0
1,-1.7240483081232805,-1.2654186047512246,0.8832206360798335,-0.1692682040980871,0.93,1.9605630517490804,1,0,0,1,1,1,0,0,0
1,-1.71947523568794,-1.2588043554482862,0.8832206360798335,-0.2384692816215206,0.81,3.1088697014749545,1,1,0,1,0,0,0,0,0
-1,-1.7149021632526,-1.2521901061453475,0.8832206360798335,-0.2018178973109999,0.47,1.9605630517490804,0,0,0,0,0,1,0,0,1
-1,-1.7103290908172597,-1.2455758568424091,-1.4155411415583143,1.2371820896006065,0.8,-0.3434230030781141,1,0,0,0,0,0,0,0,0
-1,-1.7057560183819194,-1.2389616075394705,0.595875413875065,0.5959338216306307,0.2,-1.2645566277980265,1,0,1,0,1,1,0,1,0
1,-1.7011829459465793,-1.232347358236532,0.8832206360798335,-0.2256746165531206,0.88,-0.9470673494428392,0,0,1,0,0,1,0,0,1
-1,-1.696609873511239,-1.2257331089335934,-1.1281959193535458,6.412741067803662,0.58,-1.2645566277980265,1,0,1,0,0,1,0,0,1
-1,-1.6920368010758986,-1.219118859630655,0.021184969465528,0.4623922249335149,0.75,-1.2645566277980265,1,1,0,0,0,1,0,0,0
1,-1.6874637286405585,-1.2125046103277164,0.595875413875065,-0.0875553367543644,0.91,-6.671762777090143e-17,1,0,0,0,0,0,0,1,0
-1,-1.6828906562052182,-1.205890361024778,0.8832206360798335,-0.2370331457464961,0.68,0.9928889087216588,1,0,1,0,1,0,0,1,1
1,-1.6783175837698778,-1.1992761117218396,0.8832206360798335,-0.2275867444321779,0.91,1.9605630517490804,0,1,0,0,0,0,0,0,0
-1,-1.6737445113345375,-1.192661862418901,0.8832206360798335,-0.0241124025025726,0.8,1.4997658407836418,1,1,0,0,1,0,0,1,0
-1,-1.6691714388991974,-1.2720328540541632,-2.27757680817262,6.119132879990418,0.81,-1.2645566277980265,1,0,0,0,0,1,0,0,1
1,-1.664598366463857,-1.1860476131159623,0.8832206360798335,1.973729821555834e-17,0.8124027777777779,2.421360262714519,1,0,1,1,1,1,0,0,0
1,-1.6600252940285167,-1.179433363813024,0.021184969465528,-0.1915963090186855,0.82,0.7104202183998447,1,0,0,0,1,1,0,0,0
-1,-1.6554522215931766,-1.1728191145100857,-0.2661602527392404,2.355091470363273,0.68,-1.2645566277980265,1,0,1,0,0,1,0,1,0
1,-1.6508791491578363,-1.1662048652071468,-0.8408506971487774,0.6717607078501999,0.76,0.946809187625115,1,1,1,1,0,1,1,0,1
-1,-1.646306076722496,-1.1595906159042084,0.8832206360798335,1.6763295925669002,0.96,1.4997658407836418,1,1,0,0,0,0,0,0,0
-1,-1.6417330042871556,-1.1529763666012698,0.8832206360798335,-0.2036892258754258,0.95,1.9605630517490804,1,1,0,0,0,0,0,0,0
1,-1.6371599318518155,-1.1463621172983314,-2.27757680817262,1.3794329799943668,0.87,-1.2645566277980265,1,0,0,0,1,0,0,1,0
-1,-1.6325868594164752,-1.1662048652071468,0.8832206360798335,-0.2374465788014274,0.7,-6.671762777090143e-17,1,1,1,1,0,1,1,0,1
-1,-1.6280137869811349,-1.2389616075394705,0.595875413875065,-0.1672554379096058,0.71,1.0389686298182028,1,0,0,0,1,0,0,0,0
1,-1.6234407145457947,-1.1397478679953927,-0.8408506971487774,2.266714714963092,0.87,0.5781714188527639,1,1,1,1,0,1,1,0,1
-1,-1.6188676421104544,-1.179433363813024,0.8832206360798335,-0.2386977577834563,0.75,-6.671762777090143e-17,1,0,0,0,1,1,0,0,0
-1,-1.614294569675114,-1.1331336186924543,-0.5535054749440088,1.4298826925132195,0.8,-1.2645566277980265,1,1,1,1,1,1,0,1,0
-1,-1.6097214972397738,-1.1265193693895157,-2.27757680817262,1.2581991765443832,0.72,-1.2645566277980265,1,0,0,0,0,0,0,0,1
-1,-1.6051484248044336,-1.1199051200865773,0.595875413875065,1.3633036509434289,0.96,1.4997658407836418,0,1,0,0,0,0,0,0,0
-1,-1.600575352369093,-1.1132908707836386,-1.7028863637630829,2.8248710987548047,0.85,-0.3434230030781141,1,0,1,0,0,1,0,0,0
-1,-1.596002279933753,-1.1066766214807002,-0.5535054749440088,0.252428072023212,0.74,0.1173742078873247,1,0,1,1,0,1,0,0,0
-1,-1.5914292074984129,-1.1000623721777616,0.8832206360798335,0.0037072901674092,0.54,-1.2645566277980265,1,1,0,0,1,0,0,1,0
1,-1.5868561350630723,-1.2720328540541632,-4.001648141401231,2.810675657217394,0.88,-1.2645566277980265,1,0,1,0,0,0,0,0,0
1,-1.5822830626277322,-1.0934481228748232,-1.4155411415583143,0.4124701835505616,0.86,2.7259472191626744,0,0,0,0,0,0,0,0,1
1,-1.577709990192392,-1.0868338735718843,-1.7028863637630829,4.4558944199561425,0.87,-6.671762777090143e-17,1,1,0,1,0,0,1,0,0
1,-1.5731369177570518,-1.080219624268946,0.8832206360798335,1.5839545043328442,0.73,0.5781714188527639,1,0,0,1,1,0,0,1,0
1,-1.5685638453217114,-1.0736053749660075,0.8832206360798335,1.973729821555834e-17,0.8124027777777779,1.4997658407836418,1,1,0,1,0,0,0,0,0
1,-1.5639907728863711,-1.066991125663069,1.170565858284602,1.973729821555834e-17,0.8124027777777779,1.9605630517490804,1,1,0,1,0,0,0,0,0
-1,-1.559417700451031,-1.0603768763601304,0.8832206360798335,-0.2386351988343549,0.74,0.1173742078873247,1,1,0,0,0,0,0,0,0
-1,-1.554844628015691,-1.053762627057192,-0.8408506971487774,0.2097329492386299,0.97,0.937593243405806,0,0,0,1,0,0,1,1,1
